question,category,sub_intent
심폐소생술 인증 안 하면 어떻게 돼?,졸업 요건,
사회봉사 안 하면 졸업할 수 있어?,졸업 요건,
외국어 인증 기준이 어떻게 돼?,졸업 요건,
토익 몇 점 이상이면 외국어 인증이 돼?,졸업 요건,
일본어로 외국어 인증할 수 있어?,졸업 요건,
중국어 인증 시험은 뭐가 있어?,졸업 요건,
한자 시험으로 인증 가능해?,졸업 요건,
오픽으로 외국어 인증 가능해?,졸업 요건,
교환학생 다녀오면 외국어 인증 되나?,졸업 요건,
국제교류팀 외국어 교육 수강하면 인증 돼?,졸업 요건,
정보처리 인증 자격증 뭐가 있어?,졸업 요건,
ITQ A등급이면 정보처리 인증이 돼?,졸업 요건,
MOS 자격증으로 인증 가능해?,졸업 요건,
컴퓨터 활용능력 몇 급이면 돼?,졸업 요건,
워드프로세서로 졸업인증 가능한가요?,졸업 요건,
ADsP로 정보처리 인증 가능해?,졸업 요건,
졸업인증제 심사는 언제 해?,졸업 요건,
졸업인증제 운영 주관부서가 어디야?,졸업 요건,
다전공 분야로 졸업인증 가능해?,졸업 요건,
다전공분야 운영 주관부서가 어디야?,졸업 요건,
의학과도 졸업인증제 대상이야?,졸업 요건,
편입생도 졸업인증제 해야 돼?,졸업 요건,
외국인 전형 입학생도 졸업인증제 해야 해?,졸업 요건,
장애학생도 졸업인증제 해야 되나요?,졸업 요건,
졸업인증제 시행 목표가 뭐야?,졸업 요건,
기초사무능력 자격증으로 인증 가능해?,졸업 요건,
졸업학점이 몇 학점이야?,졸업 요건,
졸업하려면 뭐 해야 돼?,졸업 요건,
심폐소생술 수업은 필수야?,졸업 요건,
사회봉사 교과목 어떻게 이수해?,졸업 요건,
졸업인증 못하면 졸업 못해?,졸업 요건,
장학금 종류가 뭐가 있어?,장학금,
성적 장학금 기준이 어떻게 돼?,장학금,
국가장학금 신청 어떻게 해?,장학금,
교내 장학금 신청 방법 알려줘,장학금,
장학금 유지 조건이 뭐야?,장학금,
근로장학금 신청할 수 있어?,장학금,
등록금 감면 제도가 있어?,장학금,
장학금 받으려면 학점이 몇 점 이상이어야 돼?,장학금,
복학생도 장학금 받을 수 있어?,장학금,
외국인 학생도 장학금 받을 수 있나요?,장학금,
장학금 신청 기간이 언제야?,장학금,
성적우수 장학금 대상자 기준 알려줘,장학금,
가계곤란 장학금 있어?,장학금,
장학금 중복 수혜 가능한가요?,장학금,
신입생 장학금 있어?,장학금,
봉사장학금은 어떻게 받아?,장학금,
장학금 반환해야 하는 경우가 있어?,장학금,
교외 장학금 종류가 뭐가 있어?,장학금,
대학원생도 장학금 받을 수 있어?,장학금,
재학생 장학금 기준이 뭐야?,장학금,
수강신청 기간이 언제야?,수강 신청,
수강신청 어떻게 해?,수강 신청,
수강 정정 기간이 언제야?,수강 신청,
수강 취소는 언제까지 가능해?,수강 신청,
한 학기에 최대 몇 학점까지 들을 수 있어?,수강 신청,
수강신청 사이트 주소가 뭐야?,수강 신청,
수강신청 시간이 어떻게 돼?,수강 신청,
재수강 가능한 과목이 있어?,수강 신청,
재수강 학점 제한이 있어?,수강 신청,
교양 필수 과목이 뭐가 있어?,수강 신청,
전공 필수 과목 알려줘,수강 신청,
교양 선택 과목 추천해줘,수강 신청,
수강신청 우선순위가 어떻게 돼?,수강 신청,
폐강 기준이 뭐야?,수강 신청,
계절학기 수강신청은 언제 해?,수강 신청,
초과학점 신청 가능해?,수강 신청,
수업 시간표 어디서 봐?,수강 신청,
타 학과 수업 들을 수 있어?,수강 신청,
복수전공 수강신청 어떻게 해?,수강 신청,
부전공 이수 학점이 몇이야?,수강 신청,
학사 경고 기준이 뭐야?,학사 경고,
학사 경고 받으면 어떻게 돼?,학사 경고,
학사 경고 몇 번 받으면 제적이야?,학사 경고,
학사 경고 해제 조건이 뭐야?,학사 경고,
학점이 몇 점 이하면 학사 경고야?,학사 경고,
학사 경고 받으면 장학금 못 받아?,학사 경고,
학사 경고 받으면 부모님한테 알려?,학사 경고,
학사 경고 1회 받으면 어떻게 돼?,학사 경고,
학사 경고 2회 받으면 어떻게 돼?,학사 경고,
학사 경고 3회 받으면 제적돼?,학사 경고,
성적 미달로 제적될 수 있어?,학사 경고,
학사 경고 구제 방법이 있어?,학사 경고,
학고 받으면 휴학할 수 있어?,학사 경고,
학사 경고 기록이 졸업 후에도 남아?,학사 경고,
학사 경고 받은 학기 성적도 평점에 들어가?,학사 경고,
F 학점 많이 받으면 학사 경고 받아?,학사 경고,
학사 경고 상담은 어디서 받아?,학사 경고,
학사 경고 받으면 수강 제한 있어?,학사 경고,
학사 경고 면제 사유가 있어?,학사 경고,
학사 경고 받은 학생 지원 프로그램 있어?,학사 경고,
교원 임용 절차가 어떻게 돼?,기타,
교수 임기가 어떻게 돼?,기타,
교원 휴직 사유가 뭐가 있어?,기타,
육아휴직 기간이 어떻게 돼?,기타,
교원 징계위원회는 어떻게 구성돼?,기타,
징계의결 기한이 얼마야?,기타,
명예퇴직수당 받으려면 몇 년 근무해야 돼?,기타,
교원인사위원회 기능이 뭐야?,기타,
직위해제 사유가 뭐야?,기타,
면직 사유가 뭐야?,기타,
교원 보수는 어떻게 정해?,기타,
일반직원 임용 자격 조건이 뭐야?,기타,
학술정보원이 뭐야?,기타,
캠퍼스가 몇 개야?,기타,
학교 연락처 알려줘,기타,
교수님 이메일 알려줘,기타,
학과 사무실 어디야?,기타,
교필이 뭐야?,기타,
학고가 뭔 뜻이야?,기타,
학교 홈페이지 주소 알려줘,기타,
12월 학생회 모집 언제부터야?,일정,일정조회_학생회모집
학생회 모집 기간 며칠까지야?,일정,일정조회_학생회모집
이번 학생회 언제 뽑아?,일정,일정조회_학생회모집
학생회 지원 언제까지 해야 돼?,일정,일정조회_학생회모집
학생회 모집일정 알려줘,일정,일정조회_학생회모집
학생회 들어가고 싶은데 언제 지원해?,일정,일정조회_학생회모집
12월 학생회 모집 언제 시작해?,일정,일정조회_학생회모집
학생회 원서 접수 기간 좀 알려주라,일정,일정조회_학생회모집
이번 연도 학생회 모집 며칠이야?,일정,일정조회_학생회모집
학생회 모집 캘린더에 언제로 되어있어?,일정,일정조회_학생회모집
학생회 지원서 어디로 내야 돼?,일정,장소조회_학생회모집
학생회 모집 어디서 해?,일정,장소조회_학생회모집
12월 학생회 모집 장소가 어디야?,일정,장소조회_학생회모집
학생회 신청하러 어디로 가야 돼?,일정,장소조회_학생회모집
학생회 모집 관련해서 어디로 찾아가면 돼?,일정,장소조회_학생회모집
과방에서 학생회 모집 받아?,일정,장소조회_학생회모집
학생회 모집 서류 제출 장소 알려줘,일정,장소조회_학생회모집
학생회 하려면 어디로 가?,일정,장소조회_학생회모집
박애관에서 학생회 모집해?,일정,장소조회_학생회모집
학생회 지원 서류 내는 곳 어디야?,일정,장소조회_학생회모집
학생회 면접 언제 봐?,일정,일정조회_학생회면접
학생회 면접 날짜가 며칠이야?,일정,일정조회_학생회면접
학생회 면접일정 언제인지 알려줘,일정,일정조회_학생회면접
학생회 면접 며칠에 해?,일정,일정조회_학생회면접
이번 학생회 면접 언제 진행해?,일정,일정조회_학생회면접
학생회 면접일 언제로 잡혔어?,일정,일정조회_학생회면접
3월 학생회 면접 날짜 알려주라,일정,일정조회_학생회면접
학생회 면접 시간표(날짜) 언제 나와?,일정,일정조회_학생회면접
나 학생회 면접 언제 보는지 알아?,일정,일정조회_학생회면접
학생회 면접 언제 시작해?,일정,일정조회_학생회면접
학생회 면접 어디서 봐?,일정,장소조회_학생회면접
학생회 면접 장소 알려줘,일정,장소조회_학생회면접
학생회 면접 보러 어디로 가야 돼?,일정,장소조회_학생회면접
학생회 면접 과방에서 해?,일정,장소조회_학생회면접
이번 학생회 면접 박애관 602호에서 봐?,일정,장소조회_학생회면접
학생회 면접 대기 장소가 어디야?,일정,장소조회_학생회면접
학생회 면접장 위치 좀 알려주라,일정,장소조회_학생회면접
학생회 면접 어디서 진행되는지 알아?,일정,장소조회_학생회면접
면접장 어딘지 알려줘 학생회,일정,장소조회_학생회면접
학생회 면접실 어디로 배정됐어?,일정,장소조회_학생회면접
정동근 교수님 퇴임식 언제야?,일정,일정조회_교수님퇴임식
교수님 퇴임식 날짜 알려줘.,일정,일정조회_교수님퇴임식
정동근 교수님 퇴임식 며칠인지 알아?,일정,일정조회_교수님퇴임식
퇴임식 일정 어떻게 돼?,일정,일정조회_교수님퇴임식
이번에 정동근 교수님 퇴임식 언제 해?,일정,일정조회_교수님퇴임식
정동근 교수님 퇴임식 어디서 해?,일정,장소조회_교수님퇴임식
교수님 퇴임식 장소가 박애관 맞아?,일정,장소조회_교수님퇴임식
퇴임식 장소 어디로 결정됐어?,일정,장소조회_교수님퇴임식
교수님 퇴임식 참석하려면 어디로 가야 돼?,일정,장소조회_교수님퇴임식
정동근 교수님 퇴임 행사 장소 알려줘.,일정,장소조회_교수님퇴임식
정동근 교수님 송공연 언제 해?,일정,일정조회_교수님송공연
송공연 날짜가 며칠이야?,일정,일정조회_교수님송공연
교수님 송공연 일정 알려주라.,일정,일정조회_교수님송공연
정동근 교수님 송공연 며칠에 진행해?,일정,일정조회_교수님송공연
이번 송공연 언제 열리는지 알아?,일정,일정조회_교수님송공연
정동근 교수님 송공연 장소가 어디야?,일정,장소조회_교수님송공연
송공연 을지관에서 하는 거 맞아?,일정,장소조회_교수님송공연
교수님 송공연 어디서 진행해?,일정,장소조회_교수님송공연
송공연 참석할 건데 어디로 가면 돼?,일정,장소조회_교수님송공연
정동근 교수님 송공연 열리는 위치 알려줘.,일정,장소조회_교수님송공연
드림데이즈 언제 시작해?,일정,일정조회_드림데이즈
드림데이즈 일정 며칠부터 며칠까지야?,일정,일정조회_드림데이즈
이번 연도 드림데이즈 날짜 좀 알려줘.,일정,일정조회_드림데이즈
드림데이즈 며칠에 하는지 아는 사람?,일정,일정조회_드림데이즈
학과 드림데이즈 언제 열려?,일정,일정조회_드림데이즈
드림데이즈 장소가 지천관이야?,일정,장소조회_드림데이즈
드림데이즈 어디서 진행하는지 알려줘.,일정,장소조회_드림데이즈
드림데이즈 참여하려면 어디로 가야 돼?,일정,장소조회_드림데이즈
드림데이즈 행사장 위치가 어디야?,일정,장소조회_드림데이즈
이번 드림데이즈 장소 어디로 배정됐어?,일정,장소조회_드림데이즈
이번 엠티 언제 가?,일정,일정조회_MT
MT 날짜 며칠이야?,일정,일정조회_MT
엠티 일정 좀 알려주라.,일정,일정조회_MT
이번 학기 MT 언제인지 알아?,일정,일정조회_MT
엠티 가는 날짜가 언제더라.,일정,일정조회_MT
엠티 장소가 어디야?,일정,장소조회_MT
MT 어디로 가?,일정,장소조회_MT
이번 엠티 어피어 연수원으로 가나?,일정,장소조회_MT
엠티 어디서 하는지 알려줘.,일정,장소조회_MT
MT 장소 어디로 예약했어?,일정,장소조회_MT
스승의날 행사 언제 해?,일정,일정조회_스승의날
학과 스승의날 챙기는 날짜 언제야?,일정,일정조회_스승의날
스승의날 이벤트 며칠에 진행해?,일정,일정조회_스승의날
스승의날 일정 알려줘.,일정,일정조회_스승의날
교수님 스승의날 파티 언제 해?,일정,일정조회_스승의날
스승의날 행사 어디서 진행해?,일정,장소조회_스승의날
스승의날 박애관에서 모이는 거 맞아?,일정,장소조회_스승의날
스승의날 이벤트 장소 알려주라.,일정,장소조회_스승의날
학과 스승의날 행사 위치가 어디야?,일정,장소조회_스승의날
스승의날 행사 참여하려면 어디로 가?,일정,장소조회_스승의날
성년의날 행사 언제 해?,일정,일정조회_성년의날
과에서 하는 성년의날 날짜가 언제야?,일정,일정조회_성년의날
성년의날 이벤트 며칠에 해?,일정,일정조회_성년의날
이번 성년의날 행사 일정 알려줘.,일정,일정조회_성년의날
성년의날 과행사 언제 진행해?,일정,일정조회_성년의날
성년의날 행사 어디서 해?,일정,장소조회_성년의날
성년의날 선물 어디서 받아?,일정,장소조회_성년의날
성년의날 이벤트 장소가 과방 맞아?,일정,장소조회_성년의날
과방에서 성년의날 행사해?,일정,장소조회_성년의날
성년의날 행사 진행하는 곳 알려줘.,일정,장소조회_성년의날
학술제 언제 해?,일정,일정조회_학술제
이번 학술제 날짜 알려줘.,일정,일정조회_학술제
학과 학술제 며칠에 진행해?,일정,일정조회_학술제
11월 학술제 일정 어떻게 돼?,일정,일정조회_학술제
학술제 시작하는 날짜가 언제야?,일정,일정조회_학술제
학술제 어디서 해?,일정,장소조회_학술제
학과 학술제 장소 어디야?,일정,장소조회_학술제
학술제 위치 어디로 결정됐어?,일정,장소조회_학술제
학술제 구경하려면 어디로 가야 돼?,일정,장소조회_학술제
학술제 발표 장소 알려줘.,일정,장소조회_학술제
1학기 중간고사 간식행사 언제 해?,일정,일정조회_1학기_중간고사_간식행사
이번 1학기 중간 간식 배부 언제야?,일정,일정조회_1학기_중간고사_간식행사
1학기 중간 간식행사 날짜 알려줘.,일정,일정조회_1학기_중간고사_간식행사
중간고사 간식행사(1학기) 며칠에 시작해?,일정,일정조회_1학기_중간고사_간식행사
1학기 중간고사 간식 언제 나눠주는지 알아?,일정,일정조회_1학기_중간고사_간식행사
1학기 중간고사 간식행사 어디서 해?,일정,장소조회_1학기_중간고사_간식행사
1학기 중간 간식 어디서 받아?,일정,장소조회_1학기_중간고사_간식행사
과방에서 1학기 중간고사 간식 줘?,일정,장소조회_1학기_중간고사_간식행사
이번 1학기 중간 간식행사 장소 알려주라.,일정,장소조회_1학기_중간고사_간식행사
1학기 중간고사 간식 수령 장소가 어디야?,일정,장소조회_1학기_중간고사_간식행사
1학기 기말고사 간식행사 언제 해?,일정,일정조회_1학기_기말고사_간식행사
1학기 기말 간식 언제 주는지 아는 사람?,일정,일정조회_1학기_기말고사_간식행사
이번 1학기 기말 간식행사 일정 어떻게 돼?,일정,일정조회_1학기_기말고사_간식행사
1학기 기말고사 간식 배부 날짜 알려줘.,일정,일정조회_1학기_기말고사_간식행사
1학기 기말 간식행사 며칠에 시작해?,일정,일정조회_1학기_기말고사_간식행사
1학기 기말고사 간식행사 어디서 해?,일정,장소조회_1학기_기말고사_간식행사
1학기 기말 간식 어디로 받으러 가?,일정,장소조회_1학기_기말고사_간식행사
1학기 기말 간식행사 장소가 박애관 602호 맞아?,일정,장소조회_1학기_기말고사_간식행사
이번 1학기 기말고사 간식 어디서 줘?,일정,장소조회_1학기_기말고사_간식행사
1학기 기말 간식 수령처 좀 알려주라.,일정,장소조회_1학기_기말고사_간식행사
2학기 중간고사 간식행사 언제 해?,일정,일정조회_2학기_중간고사_간식행사
2학기 중간 간식 언제 나눠줘?,일정,일정조회_2학기_중간고사_간식행사
이번 2학기 중간 간식행사 며칠이야?,일정,일정조회_2학기_중간고사_간식행사
2학기 중간고사 간식 배부 일정 알려줘.,일정,일정조회_2학기_중간고사_간식행사
2학기 중간 간식행사 날짜 픽스됐어?,일정,일정조회_2학기_중간고사_간식행사
2학기 중간고사 간식행사 어디서 진행해?,일정,장소조회_2학기_중간고사_간식행사
2학기 중간 간식 어디서 받는지 알아?,일정,장소조회_2학기_중간고사_간식행사
과방에서 2학기 중간 간식 나눠줘?,일정,장소조회_2학기_중간고사_간식행사
2학기 중간 간식행사 장소 알려주라.,일정,장소조회_2학기_중간고사_간식행사
이번 2학기 중간고사 간식 수령하는 곳 어디야?,일정,장소조회_2학기_중간고사_간식행사
2학기 기말고사 간식행사 언제 해?,일정,일정조회_2학기_기말고사_간식행사
2학기 기말 간식 며칠에 주는지 알려줘.,일정,일정조회_2학기_기말고사_간식행사
이번 2학기 기말 간식행사 일정 어떻게 돼?,일정,일정조회_2학기_기말고사_간식행사
2학기 기말고사 간식 언제부터 배부야?,일정,일정조회_2학기_기말고사_간식행사
2학기 기말 간식행사 날짜 아는 사람?,일정,일정조회_2학기_기말고사_간식행사
2학기 기말고사 간식행사 어디서 해?,일정,장소조회_2학기_기말고사_간식행사
2학기 기말 간식 받으러 어디로 가야 돼?,일정,장소조회_2학기_기말고사_간식행사
2학기 기말 간식행사 장소가 과방 맞아?,일정,장소조회_2학기_기말고사_간식행사
이번 2학기 기말고사 간식 배부처 어디야?,일정,장소조회_2학기_기말고사_간식행사
2학기 기말 간식 수령 장소 좀 알려줘.,일정,장소조회_2학기_기말고사_간식행사
학위수여식 언제 해?,일정,일정조회_학위수여식
졸업식 날짜 알려줘.,일정,일정조회_학위수여식
26년도 졸업식 며칠이야?,일정,일정조회_학위수여식
이번 졸업식 일정 어떻게 돼?,일정,일정조회_학위수여식
선배들 졸업식 언제 하는지 알아?,일정,일정조회_학위수여식
학위수여식 어디서 해?,일정,장소조회_학위수여식
졸업식 장소가 범석 311호 맞아?,일정,장소조회_학위수여식
이번 졸업식 어디서 진행해?,일정,장소조회_학위수여식
빅융 졸업식 장소 알려주라.,일정,장소조회_학위수여식
의아 졸업식 범석관에서 하는지 알려줘.,일정,장소조회_학위수여식
입학식 언제 해?,일정,일정조회_입학식
신입생 입학식 날짜가 언제야?,일정,일정조회_입학식
이번 입학식 일정 알려줘.,일정,일정조회_입학식
26학번 입학식 며칠에 진행해?,일정,일정조회_입학식
입학식 언제 시작인지 아는 사람?,일정,일정조회_입학식
입학식 어디서 해?,일정,장소조회_입학식
입학식 지천관에서 열려?,일정,장소조회_입학식
신입생 입학식 장소 알려주라.,일정,장소조회_입학식
입학식 위치가 어디야?,일정,장소조회_입학식
이번 연도 입학식 행사 장소 어디로 잡혔어?,일정,장소조회_입학식
체육대회 언제 해?,일정,일정조회_체육대회
이번 체전 날짜 알려줘.,일정,일정조회_체육대회
체육대회 며칠에 진행하는지 알아?,일정,일정조회_체육대회
5월 체육대회 일정 어떻게 돼?,일정,일정조회_체육대회
체육대회 시작하는 날짜가 언제야?,일정,일정조회_체육대회
체육대회 어디서 해?,일정,장소조회_체육대회
체전 운동장에서 하는 거 맞아?,일정,장소조회_체육대회
이번 체육대회 장소 지천관이야?,일정,장소조회_체육대회
체육대회 위치 좀 알려주라.,일정,장소조회_체육대회
체육대회 어디로 모이면 돼?,일정,장소조회_체육대회
을지축전 언제 해?,일정,일정조회_을지축전
이번 학교 축제 날짜가 언제야?,일정,일정조회_을지축전
가을 축제 일정 알려줘.,일정,일정조회_을지축전
을지축전 며칠에 열려?,일정,일정조회_을지축전
이번 연도 축제 언제 시작하는지 아는 사람?,일정,일정조회_을지축전
을지축전 어디서 해?,일정,장소조회_을지축전
학교 축제 장소가 어디야?,일정,장소조회_을지축전
축제 무대 어디에 설치돼?,일정,장소조회_을지축전
을지축전 진행 장소 알려주라.,일정,장소조회_을지축전
이번 학교 축제 어디서 하는지 알려줘.,일정,장소조회_을지축전
1학기 중간고사 언제부터 언제까지야?,일정,일정조회_1학기_중간고사
중간고사 날짜 좀 알려줘.,일정,일정조회_1학기_중간고사
이번 1학기 중간고사 며칠에 봐?,일정,일정조회_1학기_중간고사
1학기 중간고사 일정 어떻게 돼?,일정,일정조회_1학기_중간고사
중간고사 시작일이 언제야?,일정,일정조회_1학기_중간고사
1학기 중간고사 어디서 봐?,일정,장소조회_1학기_중간고사
1학기 중간고사 시험장 어디야?,일정,장소조회_1학기_중간고사
이번 중간고사 장소 알려주라.,일정,장소조회_1학기_중간고사
1학기 중간고사 강의실 어디로 배정됐어?,일정,장소조회_1학기_중간고사
중간고사 보는 위치 알려줘.,일정,장소조회_1학기_중간고사
1학기 기말고사 언제야?,일정,일정조회_1학기_기말고사
이번 1학기 기말고사 기간 알려줘.,일정,일정조회_1학기_기말고사
기말고사 며칠부터 시작해?,일정,일정조회_1학기_기말고사
1학기 기말고사 일정표 언제 나와?,일정,일정조회_1학기_기말고사
종강 전 기말고사 날짜 어떻게 돼?,일정,일정조회_1학기_기말고사
1학기 기말고사 어디서 진행해?,일정,장소조회_1학기_기말고사
기말고사 시험 보는 장소 알려줘.,일정,장소조회_1학기_기말고사
이번 기말고사 강의실 어디야?,일정,장소조회_1학기_기말고사
1학기 기말 시험장 어디로 가야 돼?,일정,장소조회_1학기_기말고사
기말고사 위치 좀 알려주라.,일정,장소조회_1학기_기말고사
2학기 중간고사 날짜가 언제야?,일정,일정조회_2학기_중간고사
가을학기 중간고사 기간 알려줘.,일정,일정조회_2학기_중간고사
2학기 중간고사 며칠에 봐?,일정,일정조회_2학기_중간고사
이번 2학기 중간고사 일정 어떻게 돼?,일정,일정조회_2학기_중간고사
2학기 중간고사 언제 시작하는지 아는 사람?,일정,일정조회_2학기_중간고사
2학기 중간고사 어디서 봐?,일정,장소조회_2학기_중간고사
2학기 중간고사 시험장 어디야?,일정,장소조회_2학기_중간고사
이번 2학기 중간고사 장소 알려주라.,일정,장소조회_2학기_중간고사
2학기 중간고사 강의실 배정 어떻게 됐어?,일정,장소조회_2학기_중간고사
2학기 중간고사 보는 곳 알려줘.,일정,장소조회_2학기_중간고사
2학기 기말고사 언제야?,일정,일정조회_2학기_기말고사
이번 2학기 기말고사 기간 좀 알려줘.,일정,일정조회_2학기_기말고사
겨울학기 기말고사 며칠부터 시작해?,일정,일정조회_2학기_기말고사
2학기 기말고사 일정표 언제 나와?,일정,일정조회_2학기_기말고사
종강하는 2학기 기말고사 날짜 어떻게 돼?,일정,일정조회_2학기_기말고사
2학기 기말고사 어디서 진행해?,일정,장소조회_2학기_기말고사
2학기 기말고사 시험 보는 장소 알려줘.,일정,장소조회_2학기_기말고사
이번 2학기 기말고사 강의실 어디야?,일정,장소조회_2학기_기말고사
2학기 기말 시험장 어디로 가야 돼?,일정,장소조회_2학기_기말고사
2학기 기말고사 보는 위치 좀 알려주라.,일정,장소조회_2학기_기말고사
